@relation train_big

@attribute AccX1 numeric
@attribute AccZ1 numeric
@attribute GyrY1 numeric
@attribute AccX2 numeric
@attribute AccZ2 numeric
@attribute GyrY2 numeric
@attribute AccX3 numeric
@attribute AccZ3 numeric
@attribute GyrY3 numeric
@attribute AccX4 numeric
@attribute AccZ4 numeric
@attribute GyrY4 numeric
@attribute AccX5 numeric
@attribute AccZ5 numeric
@attribute GyrY5 numeric
@attribute AccX6 numeric
@attribute AccZ6 numeric
@attribute GyrY6 numeric
@attribute AccX7 numeric
@attribute AccZ7 numeric
@attribute GyrY7 numeric
@attribute AccX8 numeric
@attribute AccZ8 numeric
@attribute GyrY8 numeric
@attribute AccX9 numeric
@attribute AccZ9 numeric
@attribute GyrY9 numeric
@attribute AccX10 numeric
@attribute AccZ10 numeric
@attribute GyrY10 numeric
@attribute AccX11 numeric
@attribute AccZ11 numeric
@attribute GyrY11 numeric
@attribute AccX12 numeric
@attribute AccZ12 numeric
@attribute GyrY12 numeric
@attribute AccX13 numeric
@attribute AccZ13 numeric
@attribute GyrY13 numeric
@attribute AccX14 numeric
@attribute AccZ14 numeric
@attribute GyrY14 numeric
@attribute AccX15 numeric
@attribute AccZ15 numeric
@attribute GyrY15 numeric
@attribute AccX16 numeric
@attribute AccZ16 numeric
@attribute GyrY16 numeric
@attribute AccX17 numeric
@attribute AccZ17 numeric
@attribute GyrY17 numeric
@attribute AccX18 numeric
@attribute AccZ18 numeric
@attribute GyrY18 numeric
@attribute AccX19 numeric
@attribute AccZ19 numeric
@attribute GyrY19 numeric
@attribute AccX20 numeric
@attribute AccZ20 numeric
@attribute GyrY20 numeric
@attribute Label {up,down,left,right,tilt_left,tilt_right}

@data
1595,-79,46951,1190,-388,76707,-3956,452,-285670,-2353,169,24390,1688,-531,243902,533,323,-70914,589,-172,6890,-160,146,-29329,-8,106,6585,-22,11,-24573,306,-5,45365,198,-49,-19878,357,-95,-548,-120,-13,-21341,243,77,16097,-155,41,-2865,-198,2,19207,-78,-71,-7012,-26,39,-6524,-38,-18,-2804,up
1750,58,14451,1614,-319,92378,-4766,157,-156341,-1240,308,-69939,1073,-229,125243,899,-99,11463,450,18,-2560,132,50,-670,56,41,6707,17,0,-12560,13,-29,-10548,-81,44,-1402,43,0,4512,-39,50,914,39,-119,3963,-4,64,-2073,3,-9,-304,15,17,2073,-65,0,304,47,0,182,up
1644,108,2378,1119,-156,42195,-1405,263,7134,-4074,-238,-66402,653,-234,18780,1392,-73,6036,401,161,-9695,103,-16,-24390,158,93,14634,4,46,11585,-28,4,1768,15,-41,-13231,88,42,8658,-65,22,-487,70,33,2317,-41,-52,-9634,3,7,3048,-50,38,5000,51,-70,2682,39,33,-6585,up
1102,-108,9634,265,-117,19451,-14,-336,103536,-1209,345,-125000,-1589,60,-39207,-98,746,-48963,1008,-761,115792,376,32,-24268,-10,104,-13658,114,-115,-2987,20,58,8536,23,34,853,6,-30,-2012,-68,19,-1036,14,-7,-243,43,7,-2256,-9,23,3353,4,-3,-3780,-10,40,2560,0,-16,1890,up
1022,-76,-10853,467,-308,33597,277,157,39024,-2403,242,-103414,-1788,296,-52134,1483,-50,96158,685,-469,-11829,23,204,23841,188,9,-10853,53,67,-4146,-9,-52,-5548,49,-27,6829,-34,37,731,23,6,3475,-12,-21,-1280,0,-39,-4207,-22,121,-426,17,-83,60,13,-17,-121,-38,51,4329,up
1077,-324,-15609,479,-92,40365,8,4,21707,-2502,400,-87378,-1084,60,-71646,1309,143,93231,71,-160,52865,462,-224,-20060,151,71,-20487,35,146,-7378,21,32,4695,-78,-64,6402,42,-35,3231,69,-16,-3902,1,-22,2378,-44,73,-2317,-10,-18,2743,31,-9,-3109,-25,23,-1280,-45,-4,243,up
1009,-70,4085,918,-284,52073,22,174,65000,-1635,446,-146341,-3598,11,-77439,2206,-248,182195,583,-635,-108170,175,252,75853,175,349,-60121,164,22,-6890,1,54,3780,-28,-29,3963,-39,-87,16646,28,39,792,46,32,6402,0,47,3048,-81,-193,1585,-45,6,7439,29,-13,1097,94,-20,-14085,up
981,-124,12012,858,-328,35426,-1107,239,-8597,-1864,559,-61951,-718,-228,24512,1207,-124,-32621,515,-161,13780,63,126,2378,42,-2,-2682,10,40,-4939,61,40,-3414,-27,35,5365,33,31,6341,13,-44,-1463,-57,41,-1158,48,-15,7317,-3,-6,-3231,-3,7,16890,-17,6,-8475,-11,-45,-9573,up
1075,-111,-9512,549,-152,82804,-415,214,-10000,-2132,501,-69695,-1538,-307,-68475,1723,-423,47926,429,216,22926,78,84,182,137,-62,8048,37,102,11341,50,41,-22743,0,-14,670,44,16,12743,-5,-30,16097,-64,-4,-2195,14,-51,1646,-4,-134,-3353,-39,63,-3902,75,6,-487,24,33,2317,up
1214,-117,-17743,922,-28,31829,-2273,375,22439,-2199,17,-22317,1378,-377,18963,565,-102,-50548,309,83,1097,12,0,-18902,-56,23,12621,18,26,10121,18,39,-8841,11,15,-1341,20,-16,8292,16,5,-3170,-48,27,-1341,-4,0,1158,7,13,8963,28,0,-1646,8,-11,-121,-13,-11,-60,up
1037,-164,18353,630,-167,-6097,-1450,346,-6402,-2132,347,-22195,868,-451,70487,893,-86,-26829,79,112,-60304,137,83,22378,-7,55,609,20,0,6768,-42,33,-731,-17,-36,5060,16,-19,2073,0,-17,914,-62,30,-487,6,-8,-1463,37,20,-731,19,-47,-1097,-29,43,-2621,4,-11,-7195,up
1471,-430,30609,797,188,-32317,-3606,695,-37560,-572,-380,156890,1345,-258,-60060,635,67,-99024,-13,117,6463,34,-18,19634,-54,114,731,61,-99,30243,-44,8,3780,-48,7,-16524,-2,-21,6402,12,30,-2378,14,-31,4329,0,15,-182,10,9,-60,-13,12,1890,-25,-20,6890,15,-4,-13963,up
