@relation train_small

@attribute ﻿AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,down,left,right}

@data
1533,35,508,-15609,-65121,93780,1742,223,555,61646,72439,-72134,-6346,297,-1497,25914,100243,-284024,2067,-297,401,-57865,-609,277743,584,-537,109,-29512,-120121,5304,343,25,-166,17987,-4268,-9878,-9,16,39,-3292,9207,243,-27,65,70,-2560,-10731,5121,102,38,-44,4634,19939,-5426,-30,-6,11,-7256,-2134,3292,68,15,-4,8048,3597,792,23,12,3,-5792,-15670,3780,-82,33,27,5060,4329,-13963,20,13,15,-975,5182,609,0,0,19,548,-3292,-975,-2,-17,-5,-1402,2987,-548,-22,1,12,914,4634,2682,26,40,25,1890,365,914,17,23,-10,-2195,-1951,-2682,-19,6,-25,-3536,-5731,5914,up
1374,87,43,26951,12012,49939,2202,1224,-280,13231,66158,-76219,-7766,-2465,459,-26585,-101463,-223353,4379,1480,-812,-30243,123292,334817,-466,-563,136,22926,-119512,-99085,319,27,395,-11280,5304,11768,-38,37,-42,3658,14878,-4329,-79,-39,32,5975,3841,-5426,69,42,-58,5365,4817,9268,-19,-20,6,-2073,3048,-2682,57,42,-16,548,-975,-60,-59,-23,-6,975,-5487,-1524,44,3,-54,-365,-2012,-731,-10,14,84,-7195,1707,-426,-18,4,-42,-182,-1890,-1219,11,1,55,243,1646,182,4,-9,-44,1829,-1829,1768,-11,1,20,-365,243,243,10,-7,-36,1585,121,-975,6,17,41,-2500,1585,-1463,up
2219,224,-165,-9878,29268,52804,-4,1233,289,-30182,-22743,-154939,-5538,-2177,349,8597,-89573,-70914,3208,589,-918,-4878,182134,220853,-292,-291,321,45548,-129207,-52865,334,241,260,-14146,36158,25000,45,17,-59,5670,-8841,-1829,78,19,-91,6463,1341,-7134,-152,-66,41,-5000,-5243,-11890,32,15,39,-2134,7621,2743,-46,-5,-4,3414,-5853,-1707,71,-8,-25,-1280,5914,4207,4,49,20,-3780,-3658,3048,62,27,-22,-304,2804,-2073,-119,-36,83,-1951,-4024,-6524,67,7,-20,4085,6768,4146,-50,-20,-41,-1646,-4268,-2804,64,24,0,1829,4024,1646,-12,31,12,-914,-2378,-1646,2,-5,43,731,-2743,0,up
1167,263,-71,-2987,-6707,25365,1838,536,60,-60,-40243,-37134,-5866,-461,-125,-7926,31768,-94207,2975,91,479,11768,6585,158719,-152,-246,-682,14329,32439,-31036,43,13,335,-23231,-25792,-25365,21,2,-72,4085,-2560,3231,14,11,59,1463,6524,4085,21,10,-57,4512,5304,-3597,-46,7,-6,2256,-5975,-609,-64,16,16,-853,1646,1097,98,23,4,-731,1463,2073,-50,-30,-19,-2926,-1280,-4878,-73,-6,8,-1646,5670,-609,116,12,-14,4390,-6036,7560,9,4,11,-2378,1585,-2195,-11,12,-10,4146,1341,1097,-62,0,6,-2195,182,-2195,87,52,-8,243,-4207,1707,-63,-34,24,-3048,-60,-3475,up
2293,-3,6,2195,-35426,87378,-942,778,157,39573,6158,-141585,-4688,-1409,-135,-2195,100792,-76585,3726,803,75,-30853,-28475,203536,-519,-268,-139,-9268,-71280,-56524,266,140,-105,2378,18719,13292,-17,51,275,-11463,4573,-28048,-122,-75,-77,6036,12621,-9573,112,30,-4,6280,-11097,13170,-86,-24,-8,0,5487,-4512,20,7,-5,-2439,2378,4329,-12,1,23,-487,6524,-2439,-6,21,-33,3597,-14451,2073,7,0,-19,304,3414,-1585,-9,-17,18,-2073,731,-3719,9,19,5,-2926,4939,1524,22,-6,29,1402,-1402,-1585,-62,3,-4,2621,-2743,853,12,-14,-34,975,-3170,1158,18,5,12,-2256,1036,1463,up
2125,141,-289,18841,-121,46036,107,742,385,7621,53963,-151097,-5740,-1569,-149,-9390,-55975,-51585,3470,781,-342,-18353,67560,243597,-192,-319,161,1768,-82378,-79573,166,18,245,-2317,670,-1280,71,144,0,2560,15914,8780,24,-60,-50,2926,-609,-10914,-61,-7,29,2256,1036,-975,123,80,-44,1341,670,6463,-75,-41,-75,-60,1951,-10121,-7,-5,38,-4512,-304,-2073,-53,5,68,-3902,304,-2926,27,0,-34,-182,487,1158,4,15,-10,1707,-2439,2560,-8,-6,27,0,-548,-1036,9,8,-7,-1036,304,3658,59,7,39,-121,-853,-548,-43,-10,-10,365,3048,-2987,-8,-4,-9,1646,2073,-3475,up
1559,125,-135,2317,7926,41585,-218,314,0,-27500,39207,-123536,-3231,-334,586,-22378,-90365,1036,760,-420,-387,29695,35365,64634,934,53,-264,609,17500,24878,245,29,95,22500,-39085,4512,-76,104,251,-14939,16707,-1707,56,-61,-10,1402,6036,-1219,-41,18,-4,-365,1158,1585,-7,28,-12,304,5182,-6280,5,-6,-37,5365,670,-365,-31,-10,-29,2073,1341,-1341,-6,0,-15,-1341,-2987,-853,14,-7,15,-121,-792,1707,56,18,22,-1036,-60,2317,-57,-12,-22,3780,-1402,-2439,25,2,-3,-304,-2012,2195,-17,11,-1,-487,1524,-2378,55,10,-14,-975,3231,1219,-46,-10,40,-1829,-2012,-487,up
2547,-93,1,-66951,-97987,79756,-62,813,663,67500,21341,-185914,-6097,-196,-1228,39756,171463,-95304,3523,-219,630,-17500,-25000,287012,123,-361,-128,-10731,-83414,-35060,-93,71,-34,-20121,-27500,-56158,105,69,-75,15609,31341,14451,17,8,41,-3292,3719,-5365,22,-10,88,-1402,-1036,487,-92,-20,-67,2073,10000,-2073,7,40,7,2256,1829,1951,65,15,73,-9390,-10000,4329,-43,-20,-26,1097,4695,-5426,-40,3,32,2195,-1463,2682,112,28,-39,2926,-975,853,-54,15,30,-3658,914,-4878,-43,1,-24,731,-3109,3963,70,14,9,3109,3597,3536,-37,-16,19,487,5182,-7378,-3,23,-16,365,-1585,-60,up
1140,-26,-19,13109,-8353,40365,1767,438,-274,38719,18536,-79024,-4848,-240,1155,-108414,-62378,-212804,899,-24,-1083,54268,108658,308170,956,-165,77,-6524,-57073,-6341,16,-267,80,7560,-42256,-25426,90,176,123,1036,41097,-14390,-12,-47,-85,9634,-4695,-3231,-5,2,-31,-5914,-6280,9451,-62,44,-34,6524,11158,-12987,30,41,41,-8170,-975,-1768,16,-40,-9,-3902,182,1951,28,47,6,-1585,4817,1280,-21,-11,7,-1524,-4695,-2073,5,27,22,1829,1646,-1829,17,-20,-12,3231,-9451,-1097,-9,32,41,-4085,7865,-2926,-19,14,-24,2500,1646,-2865,-17,-27,13,-731,-1280,975,22,3,-10,-243,1524,1463,up
1954,229,-208,7560,6036,40792,105,448,138,-33963,45000,-157195,-5145,-1152,608,-20914,-97012,-67621,2698,162,-887,20060,114268,223170,183,-91,82,28109,-73658,-21036,55,144,381,-182,-29390,7560,161,92,-88,4878,14390,3231,-62,-50,-19,-2560,11707,-16463,-36,21,73,-8658,9634,-7621,64,45,-33,4512,-7560,5609,15,0,11,365,3780,-4634,-91,-8,-22,243,3170,-4207,42,0,-35,60,-2621,5060,67,32,51,1341,-3048,-487,4,29,12,-1402,3719,-121,-59,-8,12,-243,-1463,-7317,38,-17,-2,243,731,1646,-30,-9,-20,-2317,7682,-4878,14,-10,26,-9390,10731,-7560,67,-31,-115,11036,-12560,11890,up
